"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.0001,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",101.8869,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.7853,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.7134,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.6797,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.6362,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.5129,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.2605,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",100.9743,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.7919,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.825,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",100.9875,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.1688,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.2788,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.2724,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.0697,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.5919,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",99.9931,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.45929,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.12766,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.94115,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.83246,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.76289,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.68335,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.54484,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.31895,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",98.07733,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.92216,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.93253,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",98.02419,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",98.08691,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",98.0405,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.91969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.77291,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.63548,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.52864,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.47889,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.5067,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.55808,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.56547,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.48484,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.37698,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.34047,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",97.47178,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",97.75423,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",98.19242,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.79556,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",99.40511,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",99.80048,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",99.79819,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",99.56536,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",99.29714,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-10",99.12464,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-11",99.05832,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-12",99.10136,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-01",99.25699,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-02",99.42633,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-03",99.48906,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-04",99.37032,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-05",99.21428,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-06",99.23701,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-07",99.61684,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-08",100.2057,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-09",100.8286,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-10",101.3741,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-11",101.8507,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-12",102.2842,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-01",102.6843,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-02",103.0539,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-03",103.3729,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-04",103.6128,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-05",103.8014,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-06",103.96,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-07",104.0924,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-08",104.2033,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-09",104.2836,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-10",104.3186,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-11",104.3247,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-12",104.3155,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-01",104.2947,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-02",104.2662,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-03",104.2247,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-04",104.155,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-05",104.0437,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-06",103.8605,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-07",103.5811,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-08",103.2813,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-09",103.0624,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-10",102.9963,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-11",102.9904,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-12",102.9125,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-01",102.6557,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-02",102.2754,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-03",101.833,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-04",101.3621,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-05",100.8979,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-06",100.4755,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-07",100.1214,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-08",99.80354,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-09",99.48992,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-10",99.17126,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-11",98.87921,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-12",98.68012,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-01",98.64231,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-02",98.71021,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-03",98.83083,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-04",98.97438,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-05",99.10238,
