"","Date","EA19bci","g7bci","OECDbci","OECDEbci","CHNbci","GBRbci","JPNbci","RUSbci","USAbci","DEUbci","FRAbci","EA19cci","g7cci","OECDcci","OECDEcci","CHNcci","GBRcci","JPNcci","RUScci","USAcci","DEUcci","FRAcci","ffr","ffr1","ffr2","ffr3","ffr4","ffr5","ffr6","ffr7","ffr8","ffr9","ffr10","ffr11","ffr12","vix","vix1","vix2","vix3","vix4","vix5","vix6","vix7","vix8","vix9","vix10","vix11","vix12","cpi","cpipctchg","cpipctchg1","cpipctchg2","cpipctchg3","cpipctchg4","cpipctchg5","cpipctchg6","cpipctchg7","cpipctchg8","cpipctchg9","cpipctchg10","cpipctchg11","cpipctchg12","ppi","ppipctchg","ppipctchg1","ppipctchg2","ppipctchg3","ppipctchg4","ppipctchg5","ppipctchg6","ppipctchg7","ppipctchg8","ppipctchg9","ppipctchg10","ppipctchg11","ppipctchg12","dji","djipctchg","djipctchg1","djipctchg2","djipctchg3","djipctchg4","djipctchg5","djipctchg6","djipctchg7","djipctchg8","djipctchg9","djipctchg10","djipctchg11","djipctchg12","ftse","ftsepctchg","ftsepctchg1","ftsepctchg2","ftsepctchg3","ftsepctchg4","ftsepctchg5","ftsepctchg6","ftsepctchg7","ftsepctchg8","ftsepctchg9","ftsepctchg10","ftsepctchg11","ftsepctchg12","snp","snppctchg","snppctchg1","snppctchg2","snppctchg3","snppctchg4","snppctchg5","snppctchg6","snppctchg7","snppctchg8","snppctchg9","snppctchg10","snppctchg11","snppctchg12","nasdaq","nasdaqvol","nasdaqpctchg","nasdaqpctchg1","nasdaqpctchg2","nasdaqpctchg3","nasdaqpctchg4","nasdaqpctchg5","nasdaqpctchg6","nasdaqpctchg7","nasdaqpctchg8","nasdaqpctchg9","nasdaqpctchg10","nasdaqpctchg11","nasdaqpctchg12"
"1",Feb 2000,101.54,100.6614,100.765,101.2705,100.2928,100.3137,99.20309,102.2254,100.6228,100.4292,102.8991,102.2721,101.986,102.2578,102.2245,99.82064,102.3534,99.98702,96.24483,102.9071,100.6314,102.0937,5.73,5.45,5.3,5.42,5.2,5.22,5.07,4.99,4.76,4.74,4.74,4.81,4.76,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,21.0490476190476,23.6263636363636,26.2045,23.4785714285714,25.3095652173913,28.8226315789474,170,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,0.00421686746987945,0,0.000602772754671455,0.00667475728155336,0.000607164541590909,0,129.8,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,0.00399361022364217,0.00400962309542903,0.0088996763754046,0.00815660685154976,0.0024529844644317,-0.00488201790073237,10128.30957,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,-0.0287717777746835,0.038927053307285,-0.021253031240141,0.102479406326201,0.0515312901173748,-0.0055829627810879,6232.600098,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,-0.0137058001107858,0.0148244197278015,-0.0497542795241164,0.0408082852219301,0.0194652240599193,0.0473371943690638,1366.420044,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,-0.0320460922188937,0.0544383310167941,-0.0249704808726868,0.0379440279155453,0.0387942153601588,-0.0322825626861941,4696.689941,35644700000,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595,-0.0177319423277302,0.0872691155119642,-0.0284483156587584,0.0330950711966023,0.0757725514099886,-0.0869391207525015
"2",Mar 2000,101.7846,100.6554,100.795,101.4255,100.1838,100.1327,99.35867,102.0398,100.4282,100.6532,103.172,102.3377,101.9618,102.2279,102.2239,99.92803,102.0499,100.0839,97.05052,102.8217,100.7245,102.1803,5.85,5.73,5.45,5.3,5.42,5.2,5.22,5.07,4.99,4.76,4.74,4.74,4.81,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,21.0490476190476,23.6263636363636,26.2045,23.4785714285714,25.3095652173913,171,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,0.00421686746987945,0,0.000602772754671455,0.00667475728155336,0.000607164541590909,130.8,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,0.00399361022364217,0.00400962309542903,0.0088996763754046,0.00815660685154976,0.0024529844644317,10921.919922,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,-0.0287717777746835,0.038927053307285,-0.021253031240141,0.102479406326201,0.0515312901173748,6540.200195,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,-0.0137058001107858,0.0148244197278015,-0.0497542795241164,0.0408082852219301,0.0194652240599193,1498.579956,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,-0.0320460922188937,0.0544383310167941,-0.0249704808726868,0.0379440279155453,0.0387942153601588,4572.830078,43200490000,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595,-0.0177319423277302,0.0872691155119642,-0.0284483156587584,0.0330950711966023,0.0757725514099886
"3",Apr 2000,101.9703,100.6307,100.7853,101.522,100.1257,99.96311,99.49146,101.9004,100.237,100.8288,103.404,102.3714,101.973,102.22,102.2109,100.0355,101.8593,100.1836,97.78508,102.8021,100.7871,102.305,6.02,5.85,5.73,5.45,5.3,5.42,5.2,5.22,5.07,4.99,4.76,4.74,4.74,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,21.0490476190476,23.6263636363636,26.2045,23.4785714285714,170.9,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,0.00421686746987945,0,0.000602772754671455,0.00667475728155336,130.7,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,0.00399361022364217,0.00400962309542903,0.0088996763754046,0.00815660685154976,10733.910156,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,-0.0287717777746835,0.038927053307285,-0.021253031240141,0.102479406326201,6327.399902,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,-0.0137058001107858,0.0148244197278015,-0.0497542795241164,0.0408082852219301,1452.430054,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,-0.0320460922188937,0.0544383310167941,-0.0249704808726868,0.0379440279155453,3860.659912,35147970000,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595,-0.0177319423277302,0.0872691155119642,-0.0284483156587584,0.0330950711966023
"4",May 2000,102.0988,100.57,100.753,101.6113,100.199,99.90877,99.61045,102.124,100.0042,100.9545,103.5653,102.3437,101.9762,102.2072,102.1809,100.1451,101.803,100.283,98.30815,102.7754,100.8537,102.3049,6.27,6.02,5.85,5.73,5.45,5.3,5.42,5.2,5.22,5.07,4.99,4.76,4.74,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,21.0490476190476,23.6263636363636,26.2045,171.2,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,0.00421686746987945,0,0.000602772754671455,131.6,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,0.00399361022364217,0.00400962309542903,0.0088996763754046,10522.330078,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,-0.0287717777746835,0.038927053307285,-0.021253031240141,6359.399902,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,-0.0137058001107858,0.0148244197278015,-0.0497542795241164,1420.599976,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,-0.0320460922188937,0.0544383310167941,-0.0249704808726868,3400.909912,30831980000,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595,-0.0177319423277302,0.0872691155119642,-0.0284483156587584
"5",Jun 2000,102.1235,100.4871,100.71,101.6532,100.4416,99.89912,99.72517,102.5135,99.78519,101.0037,103.6239,102.2472,101.9195,102.1591,102.1169,100.2393,101.7562,100.369,98.48322,102.6711,100.7607,102.1759,6.53,6.27,6.02,5.85,5.73,5.45,5.3,5.42,5.2,5.22,5.07,4.99,4.76,21.54,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,21.0490476190476,23.6263636363636,172.2,0.0058411214953271,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,0.00421686746987945,0,133.8,0.0167173252279637,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,0.00399361022364217,0.00400962309542903,10447.889648,-0.00707451956441093,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,-0.0287717777746835,0.038927053307285,6312.700195,-0.00734341411448475,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,-0.0137058001107858,0.0148244197278015,1454.599976,0.0239335496089013,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,-0.0320460922188937,0.0544383310167941,3966.110107,33352380000,0.166190875273029,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595,-0.0177319423277302,0.0872691155119642
"6",Jul 2000,102.1005,100.4231,100.6717,101.6318,100.645,99.91273,99.83917,102.8181,99.63391,101.0511,103.5631,102.1521,101.8854,102.1337,102.0605,100.3424,101.7283,100.4133,98.4622,102.6358,100.6838,101.9926,6.54,6.53,6.27,6.02,5.85,5.73,5.45,5.3,5.42,5.2,5.22,5.07,4.99,19.893,21.54,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,21.0490476190476,172.7,0.00290360046457607,0.0058411214953271,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,0.00421686746987945,133.7,-0.000747384155456074,0.0167173252279637,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,0.00399361022364217,10521.980469,0.00709146282131557,-0.00707451956441093,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,-0.0287717777746835,6365.299805,0.00833234723259328,-0.00734341411448475,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,-0.0137058001107858,1430.829956,-0.0163412762217727,0.0239335496089013,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,-0.0320460922188937,3766.98999,30916110000,-0.0502053931000459,0.166190875273029,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595,-0.0177319423277302
"7",Aug 2000,102.0946,100.3277,100.5942,101.5822,100.5027,99.93053,99.94779,103.0769,99.42,101.1032,103.4702,102.0002,101.8194,102.0626,101.9703,100.4684,101.7081,100.3792,98.40932,102.5991,100.5685,101.7189,6.5,6.54,6.53,6.27,6.02,5.85,5.73,5.45,5.3,5.42,5.2,5.22,5.07,18.0886956521739,19.893,21.54,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,24.3236363636364,172.7,0,0.00290360046457607,0.0058411214953271,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,0.00239952009598084,132.9,-0.00598354525056083,-0.000747384155456074,0.0167173252279637,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,0.00954653937947496,11215.099609,0.0658734486385028,0.00709146282131557,-0.00707451956441093,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,0.0163423204375493,6672.700195,0.0482931518415731,0.00833234723259328,-0.00734341411448475,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,0.00232673827051467,1517.680054,0.0606991051842361,-0.0163412762217727,0.0239335496089013,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,-0.00625409204450047,4206.350098,33222920000,0.116634264801962,-0.0502053931000459,0.166190875273029,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972,0.0382264508799595
"8",Sep 2000,102.0794,100.2418,100.4933,101.4886,99.79803,99.97858,100.0361,103.2351,99.22561,101.1232,103.418,101.7828,101.715,101.929,101.836,100.6033,101.624,100.2719,98.42132,102.5465,100.3242,101.5773,6.52,6.5,6.54,6.53,6.27,6.02,5.85,5.73,5.45,5.3,5.42,5.2,5.22,19.6875,18.0886956521739,19.893,21.54,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,24.5414285714286,173.6,0.00521134916039378,0,0.00290360046457607,0.0058411214953271,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,0.00418910831837233,134.7,0.0135440180586906,-0.00598354525056083,-0.000747384155456074,0.0167173252279637,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,0.00866824271079586,10650.919922,-0.0503053656828204,0.0658734486385028,0.00709146282131557,-0.00707451956441093,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,-0.0454628623129737,6294.200195,-0.0567236634254328,0.0482931518415731,0.00833234723259328,-0.00734341411448475,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,-0.0346759894336334,1436.51001,-0.0534829747456113,0.0606991051842361,-0.0163412762217727,0.0239335496089013,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,-0.0285517922684916,3672.820068,34727330000,-0.126839187792209,0.116634264801962,-0.0502053931000459,0.166190875273029,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602,0.00248592321403972
"9",Oct 2000,102.0304,100.1289,100.3692,101.3805,98.93751,100.1102,100.0824,103.255,98.97916,101.1222,103.41,101.7198,101.6291,101.8204,101.844,100.707,101.8352,100.0781,98.47929,102.4315,100.1536,101.7645,6.51,6.52,6.5,6.54,6.53,6.27,6.02,5.85,5.73,5.45,5.3,5.42,5.2,25.2,19.6875,18.0886956521739,19.893,21.54,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,24.0214285714286,173.9,0.00172811059907841,0.00521134916039378,0,0.00290360046457607,0.0058411214953271,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,0.00178784266984495,135.4,0.00519673348181156,0.0135440180586906,-0.00598354525056083,-0.000747384155456074,0.0167173252279637,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,-0.00234374999999998,10971.139648,0.0300649829634501,-0.0503053656828204,0.0658734486385028,0.00709146282131557,-0.00707451956441093,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,0.0380102592726094,6438.399902,0.0229099333565128,-0.0567236634254328,0.0482931518415731,0.00833234723259328,-0.00734341411448475,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,0.0374639950422037,1429.400024,-0.00494948587236084,-0.0534829747456113,0.0606991051842361,-0.0163412762217727,0.0239335496089013,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,0.0625395416259654,3369.629883,44129010000,-0.0825496973406321,-0.126839187792209,0.116634264801962,-0.0502053931000459,0.166190875273029,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716,0.0802101942561602
"10",Nov 2000,101.9412,99.93418,100.2049,101.2712,98.48219,100.2735,100.0815,103.0785,98.60504,101.0555,103.2702,101.7907,101.4888,101.6805,101.92,100.7915,102.0502,99.7804,98.53764,102.1652,100.2133,102.0887,6.51,6.51,6.52,6.5,6.54,6.53,6.27,6.02,5.85,5.73,5.45,5.3,5.42,26.3828571428571,25.2,19.6875,18.0886956521739,19.893,21.54,26.3731818181818,27.1642105263158,22.7182608695652,23.5955,23.202,22.1590909090909,21.8180952380952,174.2,0.00172512938470375,0.00172811059907841,0.00521134916039378,0,0.00290360046457607,0.0058411214953271,0.00175541252194256,-0.000584795321637394,0.00588235294117647,0.00413467217956284,0.00296208530805687,0.00237529691211405,0.00178465199286146,135,-0.00295420974889221,0.00519673348181156,0.0135440180586906,-0.00598354525056083,-0.000747384155456074,0.0167173252279637,0.00688599846977816,-0.000764525993883966,0.00770416024653313,0.0116913484021824,0.00391236306729276,-0.00389711613406091,0.00469851213782309,10414.490234,-0.0507376108462419,0.0300649829634501,-0.0503053656828204,0.0658734486385028,0.00709146282131557,-0.00707451956441093,-0.0197113703138023,-0.0172139850266885,0.0783556571326245,-0.0742396102138185,-0.0484112402354577,0.0569333874632263,0.0137885501904433,6142.200195,-0.0460051738799246,0.0229099333565128,-0.0567236634254328,0.0482931518415731,0.00833234723259328,-0.00734341411448475,0.00505736961399978,-0.0325372751070658,0.0493534146525312,-0.00572703230437906,-0.0954806753602015,0.0504759580060008,0.05459021202342,1314.949951,-0.0800686099610699,-0.00494948587236084,-0.0534829747456113,0.0606991051842361,-0.0163412762217727,0.0239335496089013,-0.0219150505129936,-0.0307957555519314,0.0967198282697323,-0.0201080832610583,-0.0509035487493619,0.0578438948767793,0.0190618586212496,2597.929932,38181910000,-0.229016235549571,-0.0825496973406321,-0.126839187792209,0.116634264801962,-0.0502053931000459,0.166190875273029,-0.119085858500763,-0.155739477271694,-0.0263717351061986,0.191947371220617,-0.0316908662968019,0.219758694528669,0.124638029036716
